;meta[language=en]
; id      |key(hex)|key(str)| text
2110365000|4d5f8b0c||Mods
2110365001|d82f25be||Friendly HUD
2110365002|00331264||HUD
2110365003|060c4b8c||Habilitar módulos de combate
2110365004|a26f225c||Exibir módulos de combate ao desembainhar espada
2110365005|d419e5ce||Exibir barra de HP ao alterar vitalidade
2110365006|0a2a4395||Habilitar módulos do sentido de bruxo
2110365007|eb228d62||Habilitar módulos de meditação
2110365008|f8922ec2||Habilitar módulos do Menu de Acesso Rápido
2110365009|9930f266||Marcações 3D
2110365010|62ca41dd||Habilitar marcações 3D
2110365011|1a014256||Habilitar bússola
2110365012|00765780||Exibir as marcações 3D na bússola
2110365014|e9864b5b||Menu de Acesso Rápido
2110365015|1402fb9c||Habilitar itens no Menu de Acesso Rápido
2110365016|0511b902||Habilitar seleção com WASD
2110365017|2d86c856||Aplicar óleo à espada em mãos
2110365018|86ae431f||Aplicar óleo durante combate
2110365019|1e902a7b||Escala de tempo enquanto no Menu de Acesso Rápido
2110365031|d5df41d4||Interações
2110365036|c29e881a||Desabilitar avisos de interação
2110365038|0631551f||Diversos
2110365040|14cd4530||Ocultar informação flutuante de dano
2110365041|22b08f30||Ocultar nível dos inimigos
2110365042|753f742c||Impedir troca/saque automático de espadas
2110365046|ff869ee4||Tempo até ocultar módulos (segundos)
2110365049|003322c9||Mapa e Minimapa
2110365050|159333bc||Zoom ilimitado no Mapa
2110365051|a1fca5b4||Mapa: zoom mínimo
2110365052|94e2cbc6||Mapa: zoom máximo
2110365053|e0d227d2||Minimapa: zoom em exteriores
2110365054|6f588ac4||Minimapa: zoom em interiores
2110365055|09c4b854||Minimapa: zoom em embarcações
2110365056|276a5ee8||Modo de exibição padrão
2110365057|49fe0e66||Poções
2110365058|305250b7||Bombas
2110365059|c7c6697b||Óleos
2110365060|3054f126||Efeitos
2110365061|77355fdd||Exibir efeitos temporários no ciclo
2110365062|7760743c||Pausar o jogo
2110365063|1cab1b51||Fixar módulo de HUD (modificador)
2110365066|27ca40be||Alternar entre Besta/Bombas
2110365068|47589939||Módulos HUD Essenciais ligado/desligado
2110365070|ac9c99af||Sentido de bruxo
2110365071|4e947b62||Sempre exibir
2110365072|033cead9||Nunca exibir
2110365073|7b55b5aa||Mostrar itens rápidos no modo lento
