;meta[language=en]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
;
2110365000|        |panel_Mods|Mods
2110365001|        |panel_friendly_hud|Friendly HUD
2110365002|        |panel_fhud_hud|HUD
2110365003|        |option_fhud_enableCombatModules|战斗模块
2110365004|        |option_fhud_enableCombatModulesOnUnsheathe|拔剑时启用战斗模块
2110365005|        |option_fhud_enableWolfModuleOnVitalityChanged|活力值变化时显示血条
2110365006|        |option_fhud_enableWitcherSensesModules|巫师感官模块（需在游戏设置关闭小地图和当前任务）
2110365007|        |option_fhud_enableMeditationModules|冥想模块（需要Friendly Meditation MOD）
2110365008|        |option_fhud_enableRadialMenuModules|轮盘菜单模块
2110365009|        |panel_fhud_markers|3D标记
2110365010|        |option_fhud_3DMarkersEnabled|启用3D标记
2110365011|        |option_fhud_compassMarkersEnabled|启用罗盘
2110365012|        |option_fhud_project3DMarkersOnCompass|在罗盘上显示3D标记
2110365014|        |panel_fhud_quick_items|快捷物品栏
2110365015|        |option_fhud_enableItemsInRadialMenu|在轮盘中启用快捷物品栏
2110365016|        |option_fhud_enableWASD|启用方向键选择
2110365017|        |option_fhud_applyOilToDrawnSword|已拔出的剑自动上油
2110365018|        |option_fhud_allowOilsInCombat|允许战斗中上油
2110365019|        |option_fhud_radialMenuTimescale|按住轮盘菜单热键使游戏进入慢动作的速率
2110365031|        |panel_fhud_interactions|互动
2110365036|        |option_fhud_disableAllInteractionPrompts|隐藏所有互动提示按钮
2110365038|        |panel_fhud_misc|杂项
2110365040|        |option_fhud_doNotShowDamage|隐藏浮动伤害文字
2110365041|        |option_fhud_doNotShowLevels|隐藏敌人等级
2110365042|        |option_fhud_dontTouchMySwords|禁用双剑切换和自动收剑
2110365046|        |option_fhud_fadeOutTimeSeconds|隐藏模块延迟 (秒)
2110365049|        |panel_fhud_map|区域地图和小地图
2110365050|        |option_fhud_mapUnlimitedZoom|区域地图无限缩放
2110365051|        |option_fhud_mapZoomMinCoef|区域地图最小缩放
2110365052|        |option_fhud_mapZoomMaxCoef|区域地图最大缩放
2110365053|        |option_fhud_minimapZoomExterior|室外小地图缩放
2110365054|        |option_fhud_minimapZoomInterior|室内小地图缩放
2110365055|        |option_fhud_minimapZoomBoat|船上小地图缩放
2110365056|        |option_fhud_defaultDisplayMode|快捷物品栏默认显示
2110365057|        |preset_value_fhud_displayMode_potions|药水
2110365058|        |preset_value_fhud_displayMode_bombs|炸弹
2110365059|        |preset_value_fhud_displayMode_oils|剑油
2110365060|        |preset_value_fhud_displayMode_buffs|增益效果
2110365061|        |option_fhud_cycleThroughBuffs|为快捷物品栏增加BUFF显示页面（按Q以快速切换）
2110365062|        |PauseGameToggle|暂定游戏
2110365063|        |PinModuleModfier|图钉键（同时按下图钉键和其他HUD热键以使其总是显示）
2110365066|        |SwitchCrossbow|切换 十字弩/炸弹
2110365068|        |ToggleEssentials|总是显示所有HUD 开/关
2110365070|        |preset_value_fhud_markersDisplayMode_ws|巫师感官时显示
2110365071|        |preset_value_fhud_markersDisplayMode_always|总是显示
2110365072|        |preset_value_fhud_markersDisplayMode_never|从不显示
2110365073|        |option_fhud_showItemsInSlowdownMode|在慢速模式下显示快捷物品栏
2110365074|        |option_fhud_wSensesSwitch|巫师感官变为开关模式（该功能已删除）
2110365075|        |option_fhud_defaultInventoryTab|打开背包时默认显示
2110365076|        |preset_value_fhud_defaultInventoryTab_Equipment|装备
2110365077|        |preset_value_fhud_defaultInventoryTab_Alchemy|炼金
