;meta[language=en]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
;
2110365000|        |panel_Mods|Mods
2110365001|        |panel_friendly_hud|Friendly HUD
2110365002|        |panel_fhud_hud|HUD
2110365003|        |option_fhud_enableCombatModules|Enable combat modules
2110365004|        |option_fhud_enableCombatModulesOnUnsheathe|Enable combat modules on sword unsheathe
2110365005|        |option_fhud_enableWolfModuleOnVitalityChanged|Enable HP bar on vitality changed
2110365006|        |option_fhud_enableWitcherSensesModules|Enable witcher senses modules
2110365007|        |option_fhud_enableMeditationModules|Enable meditation modules
2110365008|        |option_fhud_enableRadialMenuModules|Enable radial menu modules
2110365009|        |panel_fhud_markers|3D markers
2110365010|        |option_fhud_3DMarkersEnabled|Enable 3D markers
2110365011|        |option_fhud_compassMarkersEnabled|Enable compass
2110365012|        |option_fhud_project3DMarkersOnCompass|Project 3D markers on compass
2110365014|        |panel_fhud_quick_items|Quick items
2110365015|        |option_fhud_enableItemsInRadialMenu|Enable quick items in radial menu
2110365016|        |option_fhud_enableWASD|Enable WASD selection
2110365017|        |option_fhud_applyOilToDrawnSword|Apply oil to drawn sword
2110365018|        |option_fhud_allowOilsInCombat|Allow applying oils in combat
2110365019|        |option_fhud_radialMenuTimescale|Timescale for radial menu
2110365031|        |panel_fhud_interactions|Interactions
2110365036|        |option_fhud_disableAllInteractionPrompts|Disable all interaction prompts
2110365038|        |panel_fhud_misc|Miscellaneous
2110365040|        |option_fhud_doNotShowDamage|Hide floating damage information
2110365041|        |option_fhud_doNotShowLevels|Hide enemy levels
2110365042|        |option_fhud_dontTouchMySwords|Disallow switching and auto-sheathing of swords
2110365046|        |option_fhud_fadeOutTimeSeconds|Modules fade out time (seconds)
2110365049|        |panel_fhud_map|Map and minimap
2110365050|        |option_fhud_mapUnlimitedZoom|Area map unlimited zoom
2110365051|        |option_fhud_mapZoomMinCoef|Area map min zoom
2110365052|        |option_fhud_mapZoomMaxCoef|Area map max zoom
2110365053|        |option_fhud_minimapZoomExterior|Minimap exterior zoom
2110365054|        |option_fhud_minimapZoomInterior|Minimap interior zoom
2110365055|        |option_fhud_minimapZoomBoat|Minimap boat zoom
2110365056|        |option_fhud_defaultDisplayMode|Default display mode
2110365057|        |preset_value_fhud_displayMode_potions|Potions
2110365058|        |preset_value_fhud_displayMode_bombs|Bombs
2110365059|        |preset_value_fhud_displayMode_oils|Oils
2110365060|        |preset_value_fhud_displayMode_buffs|Buffs
2110365061|        |option_fhud_cycleThroughBuffs|Show active buffs when cycling
2110365062|        |PauseGameToggle|Pause game
2110365063|        |PinModuleModfier|Pin HUD module (modifier)
2110365066|        |SwitchCrossbow|Switch crossbow/bomb
2110365068|        |ToggleEssentials|Essential HUD modules on/off
2110365070|        |preset_value_fhud_markersDisplayMode_ws|Witcher senses
2110365071|        |preset_value_fhud_markersDisplayMode_always|Always show
2110365072|        |preset_value_fhud_markersDisplayMode_never|Never show
2110365073|        |option_fhud_showItemsInSlowdownMode|Show quick items in slowdown mode
2110365074|        |option_fhud_wSensesSwitch|Witcher senses hotkey behaves like a toggle
2110365075|        |option_fhud_defaultInventoryTab|Default inventory tab
2110365076|        |preset_value_fhud_defaultInventoryTab_Equipment|Equipment
2110365077|        |preset_value_fhud_defaultInventoryTab_Alchemy|Alchemy
2110365078|        |preset_value_fhud_defaultInventoryTab_Edibles|Edibles
2110365079|        |preset_value_fhud_defaultInventoryTab_Quest|Quest items
2110365080|        |preset_value_fhud_defaultInventoryTab_Ingredients|Ingredients
