;meta[language=en]
; id      |key(hex)|key(str)| text
2110365000|4d5f8b0c||Mods
2110365001|d82f25be||Friendly HUD
2110365002|00331264||HUD
2110365003|060c4b8c||Attiva i moduli nel combattimento
2110365004|a26f225c||Attiva i moduli del combattimento sfoderando la spada
2110365005|d419e5ce||Attiva la barra della vitalità al cambiamento della vitalità
2110365006|0a2a4395||Attiva i moduli nei sensi da witcher
2110365007|eb228d62||Attiva i moduli nella meditazione
2110365008|f8922ec2||Attiva i moduli nel menù radiale
2110365009|9930f266||Indicatori 3D
2110365010|        |option_fhud_3DMarkersEnabled|Enable 3D markers
2110365011|1a014256||Attiva bussola
2110365012|00765780||Proietta indicatori 3D sulla bussola
2110365014|e9864b5b||Oggetti rapidi
2110365015|1402fb9c||Attiva oggetti rapidi nel menù radiale
2110365016|0511b902||Attiva selezione WASD
2110365017|2d86c856||Applica unguenti alla spada sfoderata
2110365018|86ae431f||Permetti di applicare unguenti in combattimento
2110365019|1e902a7b||Rallentamento del tempo nel menù radiale
2110365031|d5df41d4||Interazioni
2110365036|c29e881a||Disabilita tutti i prompt interattivi
2110365038|0631551f||Varie
2110365040|14cd4530||Nascondi il testo per il danno dei colpi
2110365041|22b08f30||Nascondi il livello dei nemici
2110365042|753f742c||Non permettere estrazione/cambio automatico di spade
2110365046|ff869ee4||Ritardo per nascondere i moduli
2110365049|003322c9||Mappa e minimappa
2110365050|159333bc||Zoom illimitato mappa
2110365051|a1fca5b4||Zoom mappa minimo
2110365052|94e2cbc6||Zoom mappa massimo
2110365053|e0d227d2||Zoom minimappa in esterno
2110365054|6f588ac4||Zoom minimappa in interno
2110365055|09c4b854||Zoom minimappa in barca
2110365056|276a5ee8||Visuale predefinita
2110365057|49fe0e66||Pozioni
2110365058|305250b7||Bombe
2110365059|c7c6697b||Unguenti
2110365060|3054f126||Potenziamenti
2110365061|77355fdd||Mostra i potenziamenti attivi ciclando i moduli nel menù radiale
2110365062|7760743c||Metti in pausa
2110365063|1cab1b51||Fissa moduli HUD (modificatore)
2110365066|27ca40be||Scambia balestra/bombe
2110365068|47589939||Moduli HUD essenziali on/off
2110365070|ac9c99af||Sensi da witcher
2110365071|4e947b62||Mostra sempre
2110365072|033cead9||Non mostrare mai
